id,name
cg-3,(+) Central and West Asia and North Africa
cg-4,(+) East and Southern Africa
cg-9,(+) Europe
cg-8,(+) Latin America and the Caribbean
cg-7,(+) South Asia
cg-6,(+) South East Asia and the Pacific
cg-5,(+) West and Central Africa
un_sub-2,(+) Central Africa
un_sub-7,(+) Central Asia
un_sub-1,(+) East Africa
un_sub-24,(+) Latin America and the Caribbean
un_sub-3,(+) North Africa
un_sub-10,(+) South Asia
un_sub-9,(+) South East Asia
un_sub-4,(+) Southern Africa
un_sub-25,(+) The Pacific
un_sub-5,(+) West Africa
un_sub-11,(+) West Asia
country-1,Afghanistan
country-4,Algeria
country-7,Angola
country-11,Argentina
country-12,Armenia
country-16,Azerbaijan
country-18,Bahrain
country-19,Bangladesh
country-23,Belize
country-24,Benin
country-26,Bhutan
country-27,Bolivia
country-29,Botswana
country-31,Brazil
country-35,Burkina Faso
country-36,Burundi
country-37,Cambodia
country-38,Cameroon
country-40,Cape Verde
country-42,Central African Republic
country-43,Chad
country-44,Chile
country-48,Colombia
country-49,Comoros
country-53,Costa Rica
country-56,Cuba
country-57,Cyprus
country-50,Democratic Republic of Congo
country-60,Djibouti
country-61,Dominica
country-62,Dominican Republic
country-63,Ecuador
country-64,Egypt
country-65,El Salvador
country-66,Equatorial Guinea
country-67,Eritrea
country-210,Eswatini
country-69,Ethiopia
country-78,Gabon
country-79,Gambia
country-80,Georgia
country-82,Ghana
country-89,Guatemala
country-91,Guinea
country-92,Guinea-Bissau
country-93,Guyana
country-94,Haiti
country-97,Honduras
country-101,India
country-102,Indonesia
country-103,Iran
country-104,Iraq
country-107,Israel
country-54,Ivory Coast
country-109,Jamaica
country-112,Jordan
country-113,Kazakhstan
country-114,Kenya
country-117,Kuwait
country-118,Kyrgyzstan
country-119,Laos
country-121,Lebanon
country-122,Lesotho
country-123,Liberia
country-124,Libya
country-130,Madagascar
country-131,Malawi
country-132,Malaysia
country-134,Mali
country-138,Mauritania
country-139,Mauritius
country-141,Mexico
country-148,Morocco
country-149,Mozambique
country-150,Myanmar
country-151,Namibia
country-153,Nepal
country-158,Nicaragua
country-159,Niger
country-160,Nigeria
country-165,Oman
country-166,Pakistan
country-168,Palestine
country-169,Panama
country-170,Papua New Guinea
country-171,Paraguay
country-172,Peru
country-173,Philippines
country-177,Puerto Rico
country-178,Qatar
country-51,Republic of Congo
country-179,Reunion
country-182,Rwanda
country-192,Sao Tome and Principe
country-193,Saudi Arabia
country-194,Senegal
country-196,Seychelles
country-197,Sierra Leone
country-202,Somalia
country-203,South Africa
country-247,South Sudan
country-206,Sri Lanka
country-207,Sudan
country-208,Suriname
country-213,Syria
country-215,Tajikistan
country-216,Tanzania
country-217,Thailand
country-218,Timor-Leste
country-219,Togo
country-222,Trinidad and Tobago
country-223,Tunisia
country-224,Turkey
country-225,Turkmenistan
country-228,Uganda
country-230,United Arab Emirates
country-234,Uruguay
country-235,Uzbekistan
country-237,Venezuela
country-238,Vietnam
country-243,Yemen
country-244,Zambia
country-245,Zimbabwe
