id,ms_id,MSID,style,crop,crop_group,germplasm,organisation,short_name,long_name,description,subregion,countries,total_target_area,material_type,consumer_product_types,agroecological_zone,production_system,maturity,colors,time_horizon,status,is_tpp,is_pipeline,shareable_link
639,1288,MS01288,dt-active,Banana,"Roots, tubers and bananas (RTBs)",Dessert,IITA,Banana Dessert CAF MS01288,Banana - Dessert | Non-Hybrid | CAF | Food; Fresh Market | NA | Mid Altitude; Highlands | Rainfed | NA,,Central Africa,Democratic Republic of Congo(212400),212400,Non-Hybrid,Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Dessert+CAF+MS01288
7,9,MS00009,,Banana,"Roots, tubers and bananas (RTBs)",Dessert,IITA,Banana Dessert EAF MS00009,Banana - Dessert | Non-Hybrid | EAF | Food; Fresh Market | NA | Mid Altitude; Highlands | Rainfed | NA,,East Africa,Burundi(12874); Kenya(40086); Rwanda(21483); Tanzania(95976); Uganda(228555),398974,Non-Hybrid,Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Dessert+EAF+MS00009
376,784,MS00784,,Banana,"Roots, tubers and bananas (RTBs)",Matooke,IITA,Banana Matooke CAF MS00784,Banana - Matooke | Non-Hybrid | CAF | Food; Fresh Market; Cooking | NA | Highlands; Mid Altitude | Rainfed | NA,,Central Africa,Democratic Republic of Congo(303429),303429,Non-Hybrid,Cooking; Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Matooke+CAF+MS00784
486,921,MS00921,,Banana,"Roots, tubers and bananas (RTBs)",Matooke,IITA,Banana Matooke EAF MS00921,Banana - Matooke | Non-Hybrid | EAF | Food; Fresh Market; Cooking | NA | Mid Altitude; Highlands | Rainfed | NA,,East Africa,Burundi(25860); Kenya(25509); Rwanda(83248); Tanzania(287928); Uganda(1942721),2365266,Non-Hybrid,Cooking; Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,Banana Matooke EAF IITA TPP00307,Banana Matooke IITA BP00080,https://glomip.cgiar.org/market-segments/profile/Banana+Matooke+EAF+MS00921
365,766,MS00766,,Banana,"Roots, tubers and bananas (RTBs)",Mchare,IITA,Banana Mchare CAF MS00766,Banana - Mchare | Non-Hybrid | CAF | Food; Fresh Market; Cooking | NA | Mid Altitude; Highlands | Rainfed | NA,,Central Africa,Democratic Republic of Congo(5082),5082,Non-Hybrid,Cooking; Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Mchare+CAF+MS00766
6,8,MS00008,,Banana,"Roots, tubers and bananas (RTBs)",Mchare,IITA,Banana Mchare EAF MS00008,Banana - Mchare | Non-Hybrid | EAF | Food; Fresh Market; Cooking | NA | Highlands; Mid Altitude | Rainfed | NA,,East Africa,Kenya(729); Tanzania(191952),192681,Non-Hybrid,Cooking; Food; Fresh Market,Highlands; Mid Altitude,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Mchare+EAF+MS00008
9,11,MS00011,,Banana,"Roots, tubers and bananas (RTBs)",Plantain,IITA,Banana Plantain CAF MS00011,Banana - Plantain | Non-Hybrid | CAF | Food; Fresh Market | NA | Humid Lowlands | Rainfed | NA,,Central Africa,Cameroon(536048); Democratic Republic of Congo(877706),1413754,Non-Hybrid,Food; Fresh Market,Humid Lowlands,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Plantain+CAF+MS00011
640,1289,MS01289,,Banana,"Roots, tubers and bananas (RTBs)",Plantain,IITA,Banana Plantain EAF MS01289,Banana - Plantain | Non-Hybrid | EAF | Food; Fresh Market | NA | Humid Lowlands | Rainfed | NA,,East Africa,Burundi(1293); Kenya(3644); Rwanda(13428); Tanzania(63984),82349,Non-Hybrid,Food; Fresh Market,Humid Lowlands,Rainfed,NA,NA,Current,Active,-,-,https://glomip.cgiar.org/market-segments/profile/Banana+Plantain+EAF+MS01289
8,10,MS00010,,Banana,"Roots, tubers and bananas (RTBs)",Plantain,IITA,Banana Plantain WAF MS00010,Banana - Plantain | Non-Hybrid | WAF | Food; Fresh Market | NA | Humid Lowlands | Rainfed | NA,,West Africa,Ghana(400883); Guinea(128439); Ivory Coast(579035); Liberia(36678); Nigeria(475597),1620632,Non-Hybrid,Food; Fresh Market,Humid Lowlands,Rainfed,NA,NA,Current,Active,Banana Plantain WAF IITA TPP00180,Banana Plantain IITA BP00083,https://glomip.cgiar.org/market-segments/profile/Banana+Plantain+WAF+MS00010
73,257,MS00257,,Barley,Cereals,No Germplasm Type,ICARDA,Barley CA MS00257,Barley | Non-Hybrid | CA | Feed | Amber Hulled | Semiarid; Arid | Rainfed | Early,,Central Asia,Kazakhstan(1950204); Kyrgyzstan(151143),2101347,Non-Hybrid,Feed,Arid; Semiarid,Rainfed,Early,Amber Hulled,Current,Active,Barley CA ICARDA TPP00136,Barley ICARDA BP00060,https://glomip.cgiar.org/market-segments/profile/Barley+CA+MS00257
78,262,MS00262,,Barley,Cereals,No Germplasm Type,ICARDA,Barley CA MS00262,Barley | Non-Hybrid | CA | Feed; Food | Amber Hulless | Semiarid; Arid | Rainfed | Early,,Central Asia,Kazakhstan(243775); Kyrgyzstan(63480),307255,Non-Hybrid,Feed; Food,Arid; Semiarid,Rainfed,Early,Amber Hulless,Current,Active,Barley CA ICARDA TPP00141,Barley ICARDA BP00062,https://glomip.cgiar.org/market-segments/profile/Barley+CA+MS00262
