color,segment_count,total_hectares
White,246,292200963
NA,50,21360063
Yellow,27,17040772
Red,26,9766606
Deep red,24,943926
Brown,20,5116911
Red; Tan,17,8935170
Cream; White,15,17225994
Yellow Hilum,15,1627356
Red skin,14,1983915
Cream skin,13,1731363
White flesh,12,4633303
Amber,12,10943992
Cream; Greyish,11,13475592
Yellow skin,11,2656563
Amber Hulled,10,8398687
Tan,10,8949233
Orange flesh,10,776108
Orange,9,1622802
Brown; Light Brown,8,9623364
Beige,8,973793
Dark green; Red,8,244190
Dark green; Dark red,8,76729
Brown; Red,7,5783542
Red Mottled,6,2217124
Cream,6,1071892
Speckled,5,1657670
Red; White,5,13101353
Black,4,1760394
Greyish; White,4,3838695
Light green; Red,4,28215
Purple flesh,4,62504
Amber Hulless,3,987912
Greyish; Yellow,3,3404581
Green,3,549173
Kablanketi; Purple,2,308837
Brown; Khaki,2,7299
Beige; Cream,2,2457270
Grey Mottled,2,466255
Red skin; Tan,2,153115
Dark red - Berbere,2,361884
Brown; Cream,2,489665
,2,1158054
Amber Hulled; Amber Hulless,1,677261
Zebras,1,912
Cream biege,1,126
Blue,1,197975
Tan; White,1,81304
Brown; Red; White,1,329476
Cream; Grey,1,2196504
Grey,1,439301
Cream; Speckled,1,147061
Brown; Yellow,1,19341
Brown; Cream; Red; White,1,1238
Cream; Red; White,1,68969
Yellow flesh,1,106088
