consumer_product_type,segment_count,total_hectares
Food; Long Soft,54,50590558
Food; Table,51,9177975
Feed; Food,40,28804747
Food Processing,37,82110548
Food,34,33427722
Food; Long Firm,30,26287725
Food; Medium Soft,24,13161932
Food; Large Sized; Medium Sized,20,4501955
Food; Small Sized,19,5358747
Food; Processing,13,33770180
Fresh deep globe,12,224826
Fresh oblong,12,719100
Food; Home Consumption; Processing,11,13475592
Crisps; Food; Processing,11,626499
Dual purpose,10,11111566
Chips; Food; Processing,10,718180
Food; Provit A Biofortified; Table,10,776108
Food; Medium Firm,9,8019699
Food; Small Firm,9,25455076
Food; Long Sticky,9,4890556
Food; Fresh Roots,8,4985890
Fresh,8,207766
Fodder; Food,8,13683287
Feed; Food; Industrial Malting,8,9286093
Food; Food Processing,7,3709766
Feed; Malting,6,1614406
Boiled Grain; Flour; Food,6,459224
Dual purpose; Short fresh,6,76339
Dry; Food; Green,6,882192
Food; Fresh Market,5,3728109
Feed,5,7548364
Food; Large Sized,5,722393
Boiled Grain; Food,5,5757087
Dual purpose; Fodder; Grain,5,3913850
Confectionery Flour Snacks; Food; Food Processing,5,1478021
Food; Long waxy,5,926219
Cooking; Food; Fresh Market,4,2866458
Food; Home-made flour,4,3207491
Food; High Zn Biofortified,4,0
Feed; Food; Malting,4,3838695
Food; Malting,4,403122
Fodder,4,1146767
Dry powder,4,390962
Dal; Grain,4,1953454
Food; Medium Sticky,4,182197
Feed; Forage,3,2013118
Food-sugar; Large Sized; Medium Sized,3,1479420
Food; Industrial,3,1700204
Feed; Food; Industrial Starch,3,3237529
Curries; Food; Hummus; Kilo; Salads; Shiro; Snacks,3,1724966
Carry; Cut; Grazing,3,5412842
Carry; Cut,3,1631768
Confectionery; Dual purpose,3,387482
Confectionary; Food Processing,3,2799471
Food; Provit A Biofortified,3,0
Food; Food Processing; Poultry,3,824557
Food-sugar,2,178250
Food; Food Processing; Large Sized,2,851344
Extra Large Grain; Food,2,67821
Food; Fresh pod,2,138246
Food; Grain; Leaves,2,101498
Boiled Grain; Feed; Food; Leaves,2,221567
Food; Large/Medium sized; Long fresh,2,279058
Food; Low ODAP,2,466255
Confectionery; Food,2,411589
Food; High protein,2,210610
Food; Oil Extraction,2,2286448
Forage,2,823689
Flour; Food; Grain,2,549126
Long fresh,2,24542
Bird eye,2,390
Fresh export,2,49344
Food; High Fe Biofortified; Table,2,38724
Food; High Zn Biofortified; Long Firm,2,685720
Local Malting,2,1445780
Fodder; Food; Local Malting,2,1702364
Food; Fresh Tuber,2,6349784
Biofortified; Dual purpose; Food; Fresh Roots; Processing,1,39583
Food; Industrial Starch,1,108965
Food; Specialty Starch; Waxy,1,942
Biofortified; Food; Fresh Roots; Processing,1,561783
Curries; Dal; Flour; Food; Roasted Dhal; Snacks; Split dhal,1,378769
Curries; Food; Hummus; Kilo; Salads; Shiro; Snack,1,278
Flour; Shiro; Split dhal; whole grain both green and dry,1,125725
Kolo; Salads Hummus Curries Snacks; Shiro,1,126
Dal; Flour; Food; Roasted Dhal; Split dhal,1,6822160
Dal; Flour; Food; Raw; Roasted Dhal; Split,1,2154845
Curries; Food; Hummus; Salads; Snacks,1,776389
Food; Leaves,1,89807
Feed; Food; Grain; Leaves,1,70968
Feed; Food; Medium Sized,1,528357
Grazing,1,3116685
Boiled Grain; Fresh; Multipurpose,1,63895
Composite flour; Multipurpose,1,32694
Confectionery,1,97646
Export market; Food; Table,1,815829
Confectionery; Confectionery Flour Snacks; Peanut Butter; Snacks,1,84472
Oil Extraction,1,68643
Fresh blocky,1,47
Chips; Food Processing,1,91457
Food; Short Soft,1,38
Ethanol production,1,53204
Malting,1,18724
Fodder; Food; Forage,1,34695
Fodder; Forage; Multi-cut,1,484378
Feed; Fodder; Food,1,968755
Fresh Market,1,1113261
Industrial,1,278315
Processing,1,44793
Food; Processed Tuber,1,1141208
