market_segment,total_hectares
Wheat Spring SA MS00709,14064284
Wheat Spring SA MS01032,12611412
Cassava WAF MS01065,11383702
Wheat Spring SA MS00711,9462576
Wheat Spring WA MS00715,8932464
Rice Indica SA MS00309,7532910
Wheat Winter WA MS00076,7167443
Millet Pearl WAF MS00641,7165845
Wheat Spring LAC MS00054,6926096
Rice Indica SA MS00299,6925627
Chickpea Desi SA MS01007,6822160
Rice Indica SEA MS00333,6314095
Rice Indica SA MS00307,5739360
Rice Basmati SA MS00943,5563556
Rice Indica SA MS01300,5500000
Rice Indica SA MS00311,5296198
Cassava CAF MS01066,5279987
Sorghum WAF MS00400,5102102
Forages Urochloa isp LAC MS00002,4947087
Rice Indica SEA MS00323,4898111
Rice Indica SEA MS00334,4797524
Wheat Spring WA MS00714,4731465
Rice Indica SA MS01324,4695840
Sorghum EAF MS00665,4487046
Sorghum WAF MS00673,4434821
Yam White WAF MS00012,4283772
Rice Indica SEA MS00325,4273421
Rice Indica SA MS00308,4226256
Millet Pearl WAF MS00643,4015503
Maize SAF MS00356,3942605
Sorghum EAF MS00661,3906555
Rice Indica SEA MS00332,3897648
Rice Indica SA MS00305,3778429
Maize SA MS00362,3689798
Millet Pearl EAF MS00648,3636183
Maize LAC MS00367,3600107
Rice Indica WAF MS00339,3519837
Maize WAF MS00863,3265654
Maize SAF MS00355,3260079
Rice Indica SA MS01287,3228390
Cowpea WAF MS01221,3201455
Forages Urochloa hum LAC MS00004,3116685
Rice Indica SEA MS00322,3025570
Rice Indica WAF MS00343,2994397
Rice Indica SEA MS00330,2970727
Wheat Winter CA MS00078,2959886
Wheat Spring LAC MS00060,2867108
Maize EAF MS00373,2859957
Groundnut EAF MS00388,2832094
Wheat Durum WA MS00071,2735951
Cowpea WAF MS01222,2735817
Wheat Durum NAF MS00026,2704392
Wheat Spring NAF MS00706,2670986
Groundnut WAF MS00630,2659569
Rice Indica SEA MS00623,2538551
Maize EAF MS00372,2529809
Maize WAF MS00865,2520563
Cassava SEA MS00909,2478616
Wheat Durum SA MS00075,2474322
Sorghum SA MS00972,2421888
Rice Indica SA MS00301,2391400
Rice Indica SEA MS00336,2370347
Banana Matooke EAF MS00921,2365266
Rice Indica SEA MS00326,2278022
Millet Pearl SA MS00095,2196504
Millet Pearl SA MS00957,2196504
Chickpea Desi SA MS01017,2154845
Barley WA MS00256,2144071
Maize EAF MS00374,2142784
Barley CA MS00257,2101347
Maize CAF MS00876,2091780
Wheat Winter WA MS00038,2079323
Yam White WAF MS00014,2066012
Groundnut WAF MS00631,2046009
Rice Tropical japonica WAF MS00937,2044032
Maize LAC MS00366,1948715
Wheat Spring NAF MS00705,1865179
Lentil SA MS00274,1819637
Rice Indica SA MS00306,1765399
Rice Indica SA MS00310,1739200
Cowpea WAF MS01224,1693458
Chickpea Kabuli SA MS01019,1680881
Rice Indica LAC MS00295,1648223
Maize SA MS00361,1643039
Cassava SAF MS01069,1635183
