production_system,segment_count,total_hectares
Rainfed,314,243311119
Irrigated,67,60907545
Irrigated; Transplanted,43,56306703
Bush; Rainfed,37,8779713
Rainfed; Transplanted,30,29486364
Direct Seeded,25,17284651
Irrigated; Rainfed,20,2824298
Long harvest,20,358381
Direct Seeded; Rainfed,18,14016154
Direct Seeded; Irrigated,13,11199138
Determinate,12,795290
Semi - determinate,12,148636
Transplanted,6,620358
Irrigated; Limited Irrigation; Rainfed,5,11813044
Climbing; Rainfed,4,801276
Intercrop; Rainfed,4,204041
Rainfed and irrigated (in postrainy and summer),4,569088
Short harvest,4,390962
Submerged; Transplanted,4,1975194
Limited Irrigation,3,1104622
Direct Seeded; Irrigated; Optimal; Rainfed; Transplanted,3,2081850
,3,1436369
Residual soil moisture,2,2422014
Direct Seeded; Irrigated; Optimal; Rainfed,2,1913845
Direct Seeded; Submerged,2,456734
Rainfed & Restricted irrigation,2,3625742
Staking,2,6349784
Rainfed; Rainfed and irrigated (in postrainy and summer),1,528357
Supplemental irrigation,1,762150
Limited Irrigation; Rainfed,1,823689
Irrigated; Long harvest,1,47
Submerged,1,19
NA,1,1141208
