style,tpp_id,CropName,GermplasmType,TPPID,TPPShortName,TPPInternalName,Organisation,TPPLead,Status,Scope,BreedingEffort,Tier,BPShortName,BPLongName,BreedingTeam,TeamLead,MSShortName,TPPDescription,Cost,TPPDateCreated,TPPDateLastEdited
dt-active,20,Bambara groundnut,No Germplasm Type,TPP00892,Bambara groundnut WAF IITA TPP00892,-,IITA,Dean Muungani,Funded,CGIAR,-,-,Bambara groundnut IITA BP00278,Early Maturing,Bambara,-,Bambara groundnut WAF MS01159,-,-,"August 04, 2025","February 24, 2026"
,21,Bambara groundnut,No Germplasm Type,TPP00893,Bambara groundnut WAF IITA TPP00893,-,IITA,Dean Muungani,Funded,CGIAR,-,-,Bambara groundnut IITA BP00279,Late maturing,Bambara groundnut,-,Bambara groundnut WAF MS01160,-,-,"August 04, 2025","February 24, 2026"
,22,Banana,Matooke,TPP00307,Banana Matooke EAF IITA TPP00307,-,IITA,Michael Batte,Funded,CGIAR,Category 1: Full,-,Banana Matooke IITA BP00080,Matooke Banana,Banana,-,Banana Matooke EAF MS00921,Matooke Banana for East Africa,-,"December 14, 2023","September 17, 2024"
,23,Banana,Plantain,TPP00180,Banana Plantain WAF IITA TPP00180,-,IITA,Moses Nyine,Funded,CGIAR,Category 1: Full,-,Banana Plantain IITA BP00083,Plantain,Plantain,-,Banana Plantain WAF MS00010,"Plantain for the fresh market in the humid lowlands of West Africa with resistance to weevils, nematodes, and Sigatoka disease",-,"April 25, 2023","July 09, 2025"
,26,Barley,No Germplasm Type,TPP00136,Barley CA ICARDA TPP00136,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 4: Late Testing,-,Barley ICARDA BP00060,"Feed, Semi-Arid",Barley,-,Barley CA MS00257,"Barley, Feed, Amber-hulled, Semi arid/arid, Rainfed, Early, CA",-,"April 25, 2023","September 17, 2024"
,32,Barley,No Germplasm Type,TPP00141,Barley CA ICARDA TPP00141,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 4: Late Testing,-,Barley ICARDA BP00062,Food And Feed,Barley,-,Barley CA MS00262,"Barley, Food/feed, Amber-hulless, Semi arid/arid, Rainfed, Early, CA",-,"April 25, 2023","September 17, 2024"
,36,Barley,No Germplasm Type,TPP00145,Barley CA ICARDA TPP00145,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 4: Late Testing,-,Barley ICARDA BP00063,Malt And Feed,Barley,-,Barley CA MS00266,"Barley, Malting/feed, Amber-hulled, Optimum, Rainfed, Early, CA",-,"April 25, 2023","September 17, 2024"
,34,Barley,No Germplasm Type,TPP00143,Barley EAF ICARDA TPP00143,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 2: Early and Late Testing,-,Barley ICARDA BP00062,Food And Feed,Barley,-,Barley EAF MS00264,"Barley, Food/feed, Amber-hulled/hulless, Optimum, Rainfed, Early, EAF",-,"April 25, 2023","June 18, 2025"
,35,Barley,No Germplasm Type,TPP00144,Barley EAF ICARDA TPP00144,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 2: Early and Late Testing,-,Barley ICARDA BP00063,Malt And Feed,Barley,-,Barley EAF MS00265,"Barley, Malting/feed, Amber-hulled, Optimum, Rainfed, Early, EAF",-,"April 25, 2023","June 18, 2025"
,24,Barley,No Germplasm Type,TPP00134,Barley NAF ICARDA TPP00134,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 1: Full,-,Barley ICARDA BP00060,"Feed, Semi-Arid",Barley,-,Barley NAF MS00255,"Barley, Feed, Amber-hulled, Semi arid/arid, Rainfed, Early, November-June, NAF",-,"April 25, 2023","September 17, 2024"
,27,Barley,No Germplasm Type,TPP00137,Barley NAF ICARDA TPP00137,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 1: Full,-,Barley ICARDA BP00061,"Feed And Forage, Favorable",Barley,-,Barley NAF MS00258,"Barley, Feed/forage, Amber-hulled, Optimum, Rainfed, Mid, NAF",-,"April 25, 2023","September 17, 2024"
,31,Barley,No Germplasm Type,TPP00140,Barley NAF ICARDA TPP00140,-,ICARDA,Miguel Sanchez-Garcia,Funded,CGIAR,Category 1: Full,-,Barley ICARDA BP00062,Food And Feed,Barley,-,Barley NAF MS00261,"Barley, Food/feed, Amber-hulless, Semi arid/arid, Rainfed, Early, NAF",-,"April 25, 2023","September 17, 2024"
