TraitID,ValueProposition,TraitName,ScaleOption,TraitType,TPP_Count
TR-00122,03 Farmer - Less Loss & Risk - CC relevant stress,Yield Under Drought,tons/ha,Abiotic,70
TR-00121,01 Farmer - Higher Productivity,Yield Under Optimum Conditions,tons/ha,Agronomic,67
TR-00172,01 Farmer - Higher Productivity,Yield,kg/ha,Agronomic,48
TR-00176,01 Farmer - Higher Productivity,Head Rice Recovery,%,Quality - Analytical,46
TR-00698,01 Farmer - Higher Productivity,Grain yield (at 12.5% moisture content),t/ha,Agronomic,42
TR-00602,01 Farmer - Higher Productivity,Grain Yield,kg/ha,Agronomic,36
TR-00016,01 Farmer - Higher Productivity,High And Stable Yield Potential,tons/ha,Agronomic,34
TR-00025,04 Farmer - Less Loss & Risk - Biotic stress,Stripe Rust,%,Biotic - Disease,31
TR-00184,04 Farmer - Less Loss & Risk - Biotic stress,Neck Blast,1 to 9,Biotic - Disease,30
TR-00155,04 Farmer - Less Loss & Risk - Biotic stress,Yield Under Striga,tons/ha,Biotic - Parasitic Weeds,29
