TraitID,ValueProposition,TraitName,ScaleOption,TraitType,TPP_Count
TR-00132,09 Farmer - Appropriate maturity,Grain Moisture,%,Phenological,87
TR-00130,06 Farmer - Less Loss - Other,Root Lodging,%,Morphological,85
TR-00131,06 Farmer - Less Loss - Other,Stem Lodging,%,Morphological,85
TR-00135,15 Other,Plant Height,cm,Morphological,84
TR-00136,15 Other,Ear Position (=Ear height/plant height),%,Morphological,84
TR-00158,09 Farmer - Appropriate maturity,Maturity (FAO Scale),GDD,Phenological,83
TR-00133,03 Farmer - Less Loss & Risk - CC relevant stress,ASI,days,Abiotic,76
TR-00144,04 Farmer - Less Loss & Risk - Biotic stress,Maize Streak Virus (MSV) Resistance,1 to 9,Biotic - Disease,69
TR-00573,14 Multiplier - Easier to multiply,Male plant height : female ear height ratio,%,Morphological,65
TR-00481,14 Multiplier - Easier to multiply,Female Single Cross Seed Yield,tons/ha,Agronomic,64
