TraitID,ValueProposition,TraitName,ScaleOption,TraitType,TPP_Count
TR-00156,04 Farmer - Less Loss & Risk - Biotic stress,Fall Armyworm (FAW) Resistance Leaf,1 to 9,Biotic - Pests,55
TR-00157,04 Farmer - Less Loss & Risk - Biotic stress,Fall Armyworm (FAW) Resistance Cob,1 to 9,Biotic - Pests,55
TR-00134,03 Farmer - Less Loss & Risk - CC relevant stress,Stay-Green,1 to 9,Abiotic,53
TR-00142,04 Farmer - Less Loss & Risk - Biotic stress,Maize Lethal Necrosis (MLN) Resistance,1 to 9,Biotic - Disease,45
TR-00143,04 Farmer - Less Loss & Risk - Biotic stress,Yield Under Artificial MLN,tons/ha,Biotic - Disease,43
TR-00169,13 User - Better nutrition and/or health,Grain Zinc Content (Polished Rice),mg/kg,Quality - Analytical,33
TR-00167,12 User - Meeting end-user requirements,Aroma,1 to 5,Quality - Analytical,31
TR-00118,12 User - Meeting end-user requirements,Grain Texture,"flint, semi-flint, semi-dent, dent",Quality - Visual,28
TR-00015,03 Farmer - Less Loss & Risk - CC relevant stress,Heat Tolerance,tons/ha,Abiotic,27
TR-00001,12 User - Meeting end-user requirements,1000 Kernel Weight,grams,Quality - Analytical,27
